Time;Hip_x;Hip_vel;Omega;GP_AO;GP_Model;target_cos;target_sin;target_omega;Unnamed: 9
17:16:40.251024;0.02717933;0.000837273;0.002562146;1.913355263;0.007672749;1;0;0;
17:16:40.260992;0.02717933;0.000669818;0.00255903;1.913377945;0.005560182;1;0;0;
17:16:40.270878;0.02717933;0.000535854;0.002555392;1.913400166;0.006378173;1;0;0;
17:16:40.281855;0.02717933;0.000428684;0.002550916;1.9134236;0.004610101;1;0;0;
17:16:40.293555;0.02717933;0.000342947;0.002546305;1.91344474;0.005625767;1;0;0;
17:16:40.302724;0.02717933;0.000274357;0.002541265;1.913465392;0.007389705;1;0;0;
17:16:40.312927;0.02717933;0.000219486;0.002535836;1.91348552;0.008960342;1;0;0;
17:16:40.322665;0.02717933;0.000175589;0.00253001;1.913505262;0.009651905;1;0;0;
17:16:40.333291;0.02717933;0.000140471;0.002523826;1.913524566;0.008358571;1;0;0;
17:16:40.342730;0.02717933;0.000112377;0.002517094;1.913544037;0.008340352;1;0;0;
17:16:40.352914;0.02717933;8.99E-05;0.002510227;1.913562556;0.007860388;1;0;0;
17:16:40.363384;0.02717933;7.19E-05;0.002502747;1.913581453;0.007232472;1;0;0;
17:16:40.374520;0.02717933;5.75E-05;0.002495111;1.913599602;0.006871391;1;0;0;
17:16:40.384430;0.02717933;4.60E-05;0.002487338;1.913617073;0.006428567;1;0;0;
17:16:40.393955;0.02717933;3.68E-05;0.002479361;1.913634102;0.006873593;1;0;0;
17:16:40.404726;0.02717933;2.95E-05;0.002470519;1.913652061;0.006354581;1;0;0;
17:16:40.415924;0.02717933;2.36E-05;0.002461594;1.913669335;0.005151412;1;0;0;
17:16:40.426094;0.02717933;1.89E-05;0.002452847;1.913685543;0.004493732;1;0;0;
17:16:40.436503;0.02717933;1.51E-05;0.00244396;1.913701363;0.004171051;1;0;0;
17:16:40.446117;0.02717933;1.21E-05;0.002434877;1.913716929;0.004222268;1;0;0;
17:16:40.457101;0.02717933;9.65E-06;0.002424956;1.913733315;0.004672803;1;0;0;
17:16:40.467078;0.02717933;7.72E-06;0.002415149;1.913748943;0.004443515;1;0;0;
17:16:40.477785;0.02717933;6.18E-06;0.002405558;1.913763734;0.004199769;1;0;0;
17:16:40.487370;0.028193439;0.020144423;0.002423043;1.913805535;0.006950708;1;0;0;
17:16:40.497731;0.028193439;0.016115538;0.002439081;1.913846191;0.008776454;1;0;0;
17:16:40.509652;0.028193439;0.012892431;0.0024543;1.913887357;0.01249947;1;0;0;
17:16:40.520345;0.028193439;0.010313944;0.002468159;1.913927664;0.014959725;1;0;0;
17:16:40.529099;0.028193439;0.008251156;0.002479792;1.913964213;0.018103685;1;0;0;
17:16:40.538807;0.028193439;0.006600924;0.002490216;1.913999755;0.018343356;1;0;0;
17:16:40.549110;0.028193439;0.00528074;0.002499417;1.914034089;0.018499598;1;0;0;
17:16:40.559778;0.028193439;0.004224592;0.002507663;1.914068135;0.015168766;1;0;0;
17:16:40.570767;0.028193439;0.003379673;0.002515122;1.914102782;0.010818527;1;0;0;
17:16:40.580776;0.028193439;0.002703739;0.002521352;1.914136001;0.006859533;1;0;0;
17:16:40.591516;0.028193439;0.002162991;0.002526552;1.914168579;0.005322125;1;0;0;
17:16:40.602357;0.029207319;0.02187523;0.002557621;1.914225239;0.008243715;1;0;0;
17:16:40.612223;0.029207319;0.017500184;0.002586646;1.914280359;0.010701974;1;0;0;
17:16:40.623028;0.029207319;0.014000147;0.002613303;1.914333212;0.014413027;1;0;0;
17:16:40.632715;0.029207319;0.011200118;0.002639397;1.914387441;0.012861254;1;0;0;
17:16:40.642777;0.029207319;0.008960094;0.002662253;1.914437413;0.013052539;1;0;0;
17:16:40.653072;0.029207319;0.007168075;0.00268305;1.914485345;0.013678187;1;0;0;
17:16:40.663831;0.029207319;0.00573446;0.002702018;1.914531593;0.011199654;1;0;0;
